Table 1
Mã hàng,Tên mặt hàng,Nhóm mặt hàng,Đơn vị tính,Giá bán,Giá nhập,Mặc định giảm giá,Mặc định giảm tiền,Giá sỉ 1 CÁI,Mã sẵn có,Ghi chú,Giá sỉ CHẴN,Giá có hoá đơn đỏ,Không in chế biến,Đơn vị tính chẵn,Quy đổi,Giá bán chẵn
8934974109877,NHÓC MIKO! T3,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041085817,,0.00,0.00,FALSE,,0.00,0.00
8934974110323,NHÓC MIKO! T4,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041085824,,0.00,0.00,FALSE,,0.00,0.00
8934974110378,NHÓC MIKO! T5,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041085831,,0.00,0.00,FALSE,,0.00,0.00
8934974110637,NHÓC MIKO! T6,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041085848,,0.00,0.00,FALSE,,0.00,0.00
8934974111443,NHÓC MIKO! T7,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041085855,,0.00,0.00,FALSE,,0.00,0.00
8934974111801,NHÓC MIKO! T8,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041085862,,0.00,0.00,FALSE,,0.00,0.00
8934974112594,NHÓC MIKO! T10,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041085886,,0.00,0.00,FALSE,,0.00,0.00
8934974112655,NHÓC MIKO! T11,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041085893,,0.00,0.00,FALSE,,0.00,0.00
8934974112730,NHÓC MIKO! T12,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041085909,,0.00,0.00,FALSE,,0.00,0.00
8934974112976,NHÓC MIKO! T13,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041085916,,0.00,0.00,FALSE,,0.00,0.00
8934974113102,NHÓC MIKO! T14,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041085923,,0.00,0.00,FALSE,,0.00,0.00
8934974113195,NHÓC MIKO! T15,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041085930,,0.00,0.00,FALSE,,0.00,0.00
8934974113331,NHÓC MIKO! T17,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041085954,,0.00,0.00,FALSE,,0.00,0.00
8934974113454,NHÓC MIKO! T18,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041085961,,0.00,0.00,FALSE,,0.00,0.00
8934974113621,NHÓC MIKO! T19,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041085978,,0.00,0.00,FALSE,,0.00,0.00
8934974113720,NHÓC MIKO! T20,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041085985,,0.00,0.00,FALSE,,0.00,0.00
8934974113928,NHÓC MIKO! T22,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041086005,,0.00,0.00,FALSE,,0.00,0.00
8934974114017,NHÓC MIKO! T23,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041086012,,0.00,0.00,FALSE,,0.00,0.00
8934974120742,MIKO Edo rắc rối ký,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041022638,,0.00,0.00,FALSE,,0.00,0.00
8934974121503,MIKO SELECTION top 10của Ẻiko ono,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041024328,,0.00,0.00,FALSE,,0.00,0.00
8934974122258,MIKO SELECTION blue,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041024335,,0.00,0.00,FALSE,,0.00,0.00
8934974122685, NHÓC MIKO!  fanbook,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041023802,,0.00,0.00,FALSE,,0.00,0.00
8934974122753,NNA Mắt biếc,NGUYỄN NHẬT ÁNH,Quyển,"58,000.00",0.00,0.00,0.00,0.00,9786041005143,,0.00,0.00,FALSE,,0.00,0.00
8934974124559,NNA Buổi chiều Windows,NGUYỄN NHẬT ÁNH,Quyển,"56,000.00",0.00,0.00,0.00,0.00,9786041004665,,0.00,0.00,FALSE,,0.00,0.00
8934974124580,NNA Nữ sinh,NGUYỄN NHẬT ÁNH,Quyển,"43,000.00",0.00,0.00,0.00,0.00,9786041005259,,0.00,0.00,FALSE,,0.00,0.00
8934974124610,NNA Hạ đỏ,NGUYỄN NHẬT ÁNH,Quyển,"48,000.00",0.00,0.00,0.00,0.00,9786041005037,,0.00,0.00,FALSE,,0.00,0.00
8934974125372,NHÓC MIKO! T25,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041086036,,0.00,0.00,FALSE,,0.00,0.00
8934974126874,Truyện NNA Chú bé rắc rối,NGUYỄN NHẬT ÁNH,Quyển,"48,000.00",0.00,0.00,0.00,0.00,9786041004764,,0.00,0.00,FALSE,,0.00,0.00
8934974128922,MIKO SELECTION cười bể bụng,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041052994,,0.00,0.00,FALSE,,0.00,0.00
8934974129271,MIKO SELECTION con gái hay nhất,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041101135,,0.00,0.00,FALSE,,0.00,0.00
8934974129516,NHÓC MIKO! T26,NHOC MIKO!,Quyển,"18,000.00","14,400.00",0.00,0.00,"16,000.00",9786041086043,,0.00,0.00,FALSE,,0.00,0.00
8934974136019,NNA Tôi là bêtô,NGUYỄN NHẬT ÁNH,Quyển,"60,000.00",0.00,0.00,0.00,0.00,9786041005426,,0.00,0.00,FALSE,,0.00,0.00
8934974136910,BÉ HLG T14 Bubu có em,BE HOC LE GIAO (BE HLG),Quyển,"10,000.00","7,000.00",0.00,0.00,"9,000.00",9786041074002,,0.00,0.00,FALSE,,0.00,0.00
8934974138563,BÉ TKC Chuột nhắt lười học,BE TAP KE CHUYEN,Quyển,"10,000.00","7,000.00",0.00,0.00,"9,000.00",9786041079342,,0.00,0.00,FALSE,,0.00,0.00
8934974138877,BÉ TKC Những tiếng kêu đáng yêu,BE TAP KE CHUYEN,Quyển,"10,000.00","7,000.00",0.00,0.00,"9,000.00",9786041080980,,0.00,0.00,FALSE,,0.00,0.00
8934974138921,BÉ TKC  Ba cô gái,BE TAP KE CHUYEN,Quyển,"10,000.00","7,000.00",0.00,0.00,"9,000.00",9786041079144,,0.00,0.00,FALSE,,0.00,0.00
8934974138952,BÉ TKC Đáng khen nhiều hơn,BE TAP KE CHUYEN,Quyển,"10,000.00","7,000.00",0.00,0.00,"9,000.00",9786041079120,,0.00,0.00,FALSE,,0.00,0.00
8934974139362,BÉ HLG  T15 Bubu bị bênh,BE HOC LE GIAO (BE HLG),Quyển,"10,000.00","7,000.00",0.00,0.00,"9,000.00",9786041074019,,0.00,0.00,FALSE,,0.00,0.00
8934974139386,BÉ HLG T27 Bubu thích ăn kẹo,BE HOC LE GIAO (BE HLG),Quyển,"10,000.00","7,000.00",0.00,0.00,"9,000.00",9786041074132,,0.00,0.00,FALSE,,0.00,0.00
8934974139478,BÉ HLG T45 Bubu chậm chạp,BE HOC LE GIAO (BE HLG),Quyển,"10,000.00","7,000.00",0.00,0.00,"9,000.00",9786041074316,,0.00,0.00,FALSE,,0.00,0.00
8934974139768,BÉ TKC Đôi bạn tốt,BE TAP KE CHUYEN,Quyển,"10,000.00","7,000.00",0.00,0.00,"9,000.00",9786041079397,,0.00,0.00,FALSE,,0.00,0.00
8934974139782,BÉ TKC Sự tích hoa hồng,BE TAP KE CHUYEN,Quyển,"10,000.00","7,000.00",0.00,0.00,"9,000.00",9786041079588,,0.00,0.00,FALSE,,0.00,0.00
8934974139805,BÉ TKC,TRUYỆN,Quyển,"10,000.00","7,000.00",0.00,0.00,"9,000.00",9786041079236t,,0.00,0.00,FALSE,,0.00,0.00
8934974140047,BÉ HLG T55 Bubu làm thám tử,BE HOC LE GIAO (BE HLG),Quyển,"10,000.00","7,000.00",0.00,0.00,"9,000.00",9786041074415,,0.00,0.00,FALSE,,0.00,0.00
8934974140665,BÉ TKC Cây tre trăm đốt,BE TAP KE CHUYEN,Quyển,"10,000.00","7,000.00",0.00,0.00,"9,000.00",9786041079243,,0.00,0.00,FALSE,,0.00,0.00
8934974145448,NNA lá nằm trong lá,NGUYỄN NHẬT ÁNH,Quyển,"80,000.00",0.00,0.00,0.00,0.00,9786041003637,,0.00,0.00,FALSE,,0.00,0.00
8934974150695,BÉ TKC Chú gà trống kiêu căng,BE TAP KE CHUYEN,Quyển,"10,000.00","7,000.00",0.00,0.00,"9,000.00",9786041079298,,0.00,0.00,FALSE,,0.00,0.00
8934974152118,NNA có hai con mèo ngồi bên cửa sổ,NGUYỄN NHẬT ÁNH,Quyển,"85,000.00",0.00,0.00,0.00,0.00,9786041015746,,0.00,0.00,FALSE,,0.00,0.00
8935036610744,CẬU BÉ RỒNG T2,,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",1091200010106,,0.00,0.00,FALSE,,0.00,0.00
8935036612274,CẬU BÉ RỒNG T8,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",8935036612274,,0.00,0.00,FALSE,,0.00,0.00
8935036617811,CẬU BÉ RỒNG T20,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7101503630020,,0.00,0.00,FALSE,,0.00,0.00
8935036625960,CẬU BÉ RỒNG T39,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7101503630039,,0.00,0.00,FALSE,,0.00,0.00
8935036625977,CẬU BÉ RỒNG T,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7101503630040,,0.00,0.00,FALSE,,0.00,0.00
8935036636188,24GHT Vương Thôi,24 GUONG HIEU THAO,Quyển,"8,000.00",0.00,0.00,0.00,"7,000.00",7111503710023,,0.00,0.00,FALSE,,0.00,0.00
8935036639592,CẬU BÉ RỒNG T49,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7161503630049,,0.00,0.00,FALSE,,0.00,0.00
8935036639608,CẬU BÉ RỒNG T50,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111503630050,,0.00,0.00,FALSE,,0.00,0.00
8935036639615,CẬU BÉ RỒNG T51,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111503630051,,0.00,0.00,FALSE,,0.00,0.00
8935036643490,TCNN Lê Quý Đôn,TRUYEN CO NUOC NAM (TCNN),Quyển,"8,000.00",0.00,0.00,0.00,"7,000.00",7161503710050,,0.00,0.00,FALSE,,0.00,0.00
8935036643759,CẬU BÉ RỒNG T6,,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",71111505570006,,0.00,0.00,FALSE,,0.00,0.00
8935036643766,CẬU BÉ RỒNG T15,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111505570015,,0.00,0.00,FALSE,,0.00,0.00
8935036643780,CẬU BÉ RỒNG T18,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111505570018,,0.00,0.00,FALSE,,0.00,0.00
8935036643797,CẬU BÉ RỒNG T22,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",   7131505570022,,0.00,0.00,FALSE,,0.00,0.00
8935036643803,CẬU BÉ RỒNG T25,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111505570025,,0.00,0.00,FALSE,,0.00,0.00
8935036643810,CẬU BÉ RỒNG T27,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111505570027,,0.00,0.00,FALSE,,0.00,0.00
8935036643827,CẬU BÉ RỒNG T28,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",711505570028,,0.00,0.00,FALSE,,0.00,0.00
8935036643865,CẬU BÉ RỒNG T53,,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111503630053,,0.00,0.00,FALSE,,0.00,0.00
8935036643889,CẬU BÉ RỒNG T55,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7161503630055,,0.00,0.00,FALSE,,0.00,0.00
8935036646200,CẬU BÉ RỒNG T5,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111505570005,,0.00,0.00,FALSE,,0.00,0.00
8935036646224,CẬU BÉ RỒNG T17,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111505570017,,0.00,0.00,FALSE,,0.00,0.00
8935036646255,CẬU BÉ RỒNG T21,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111505570021,,0.00,0.00,FALSE,,0.00,0.00
8935036646262,CẬU BÉ RỒNG T45,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111505570045,,0.00,0.00,FALSE,,0.00,0.00
8935036646286,TCNN Sự tích con cá Nược,TRUYEN CO NUOC NAM (TCNN),Quyển,"8,000.00",0.00,0.00,0.00,"7,000.00",7161503710055,,0.00,0.00,FALSE,,0.00,0.00
8935036646316,TCNN Người vợ khôn ngoan,TRUYEN CO NUOC NAM (TCNN),Quyển,"8,000.00",0.00,0.00,0.00,"7,000.00",7161503710058,,0.00,0.00,FALSE,,0.00,0.00
8935036647269,CẬU BÉ RỒNG T57,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111505570057,,0.00,0.00,FALSE,,0.00,0.00
8935036647276,CẬU BÉ RỒNG T58,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7161503630058,,0.00,0.00,FALSE,,0.00,0.00
8935036647283,CẬU BÉ RỒNG T59,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111505570059,,0.00,0.00,FALSE,,0.00,0.00
8935036647290,CẬU BÉ RỒNG T60,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",8935036647290,,0.00,0.00,FALSE,,0.00,0.00
8935036647337,CẬU BÉ RỒNG T11,,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7151505570011,,0.00,0.00,FALSE,,0.00,0.00
8935036647344,CẬU BÉ RỒNG T23,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7151505570023,,0.00,0.00,FALSE,,0.00,0.00
8935036647351,CẬU BÉ RỒNG T24,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111505570024,,0.00,0.00,FALSE,,0.00,0.00
8935036647368,CẬU BÉ RỒNG T26,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7151505570026,,0.00,0.00,FALSE,,0.00,0.00
8935036647382,CẬU BÉ RỒNG T46,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111505570046,,0.00,0.00,FALSE,,0.00,0.00
8935036647498,CẬU BÉ RỒNG T1,,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111505570001,,0.00,0.00,FALSE,,0.00,0.00
8935036647511,CẬU BÉ RỒNG T7,,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111505570007,,0.00,0.00,FALSE,,0.00,0.00
8935036647528,CẬU BÉ RỒNG T12,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111505570012,,0.00,0.00,FALSE,,0.00,0.00
8935036647535,CẬU BÉ RỒNG T13,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111505570013,,0.00,0.00,FALSE,,0.00,0.00
8935036647559,CẬU BÉ RỒNG T38,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111505570034,,0.00,0.00,FALSE,,0.00,0.00
8935036647566,CẬU BÉ RỒNG T47,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111505570047,,0.00,0.00,FALSE,,0.00,0.00
8935036649805,CẬU BÉ RỒNG T61,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111503630061,,0.00,0.00,FALSE,,0.00,0.00
8935036649812,CẬU BÉ RỒNG T62,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111503630062,,0.00,0.00,FALSE,,0.00,0.00
8935036649829,CẬU BÉ RỒNG T63,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111503630063,,0.00,0.00,FALSE,,0.00,0.00
8935036649850,CẬU BÉ RỒNG T48,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7111505570048,,0.00,0.00,FALSE,,0.00,0.00
8935036651679,CẬU BÉ RỒNG T52,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7151505570052,,0.00,0.00,FALSE,,0.00,0.00
8935036651693,CẬU BÉ RỒNG T54,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7151505570054,,0.00,0.00,FALSE,,0.00,0.00
8935036651716,CẬU BÉ RỒNG T56,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7151505570056,,0.00,0.00,FALSE,,0.00,0.00
8935036652591,CẬU BÉ RỒNG T65,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7121503630065,,0.00,0.00,FALSE,,0.00,0.00
8935036652607,CẬU BÉ RỒNG T66,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7121503630066,,0.00,0.00,FALSE,,0.00,0.00
8935036652621,CẬU BÉ RỒNG T68,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7171505570068,,0.00,0.00,FALSE,,0.00,0.00
8935036652638,CẬU BÉ RỒNG T69,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7171505570069,,0.00,0.00,FALSE,,0.00,0.00
8935036653017,CẬU BÉ RỒNG T43,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7121505570043,,0.00,0.00,FALSE,,0.00,0.00
8935036653024,CẬU BÉ RỒNG T44,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7171505570044,,0.00,0.00,FALSE,,0.00,0.00
8935036653802,CẬU BÉ RỒNG T41,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7171505570041,,0.00,0.00,FALSE,,0.00,0.00
8935036653833,CẬU BÉ RỒNG T29,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7171505570029,,0.00,0.00,FALSE,,0.00,0.00
8935036653840,CẬU BÉ RỒNG T30,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7151505570030,,0.00,0.00,FALSE,,0.00,0.00
8935036653857,CẬU BÉ RỒNG T31,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7151505570031,,0.00,0.00,FALSE,,0.00,0.00
8935036653864,CẬU BÉ RỒNG T32,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7121505570032,,0.00,0.00,FALSE,,0.00,0.00
8935036655417,CẬU BÉ RỒNG T16,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7131505570016,,0.00,0.00,FALSE,,0.00,0.00
8935036655424,CẬU BÉ RỒNG T64,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7151505570064,,0.00,0.00,FALSE,,0.00,0.00
8935036655950,CẬU BÉ RỒNG T71,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7151505570071,,0.00,0.00,FALSE,,0.00,0.00
8935036655967,CẬU BÉ RỒNG T72,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7121503630072,,0.00,0.00,FALSE,,0.00,0.00
8935036657930,TTDGVN Chuyện ông gióng,TRANH TRUYEN DAN GIAN VN,Quyển,"15,000.00",0.00,0.00,0.00,"13,200.00",6171400290062,,0.00,0.00,FALSE,,0.00,0.00
8935036658241,TTDGVN Tú Uyên Giáng Kiều,TRANH TRUYEN DAN GIAN VN,Quyển,"15,000.00",0.00,0.00,0.00,"13,200.00",6171400290025,,0.00,0.00,FALSE,,0.00,0.00
8935036658623,CẬU BÉ RỒNG T38,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7151505570038,,0.00,0.00,FALSE,,0.00,0.00
8935036659507,CẬU BÉ RỒNG T67,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7171505570067,,0.00,0.00,FALSE,,0.00,0.00
8935036659873,CẬU BÉ RỒNG T73,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7171505570073,,0.00,0.00,FALSE,,0.00,0.00
8935036659880,CẬU BÉ RỒNG T74,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7151505570074,,0.00,0.00,FALSE,,0.00,0.00
8935036659897,CẬU BÉ RỒNG T75,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7121503630075,,0.00,0.00,FALSE,,0.00,0.00
8935036662569,CẬU BÉ RỒNG T77,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",8935036662569,,0.00,0.00,FALSE,,0.00,0.00
8935036662583,CẬU BÉ RỒNG T79,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7121503630079,,0.00,0.00,FALSE,,0.00,0.00
8935036662590,CẬU BÉ RỒNG T80,CẬU BÉ RỒNG,Quyển,"80,000.00","6,000.00",0.00,0.00,"6,600.00",7161503630080,,0.00,0.00,FALSE,,0.00,0.00
8935036664013,CẬU BÉ RỒNG T76,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",8935036664013,,0.00,0.00,FALSE,,0.00,0.00
8935036664853,CẬU BÉ RỒNG T83,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7121503630083,,0.00,0.00,FALSE,,0.00,0.00
8935036664860,CẬU BÉ RỒNG T84,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7171505570084,,0.00,0.00,FALSE,,0.00,0.00
8935036667380,CẬU BÉ RỒNG T86,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7131503630086,,0.00,0.00,FALSE,,0.00,0.00
8935036669230,TTDGVN Sự tích con cóc,TRANH TRUYEN DAN GIAN VN,Quyển,"15,000.00",0.00,0.00,0.00,"13,200.00",6171400290032,,0.00,0.00,FALSE,,0.00,0.00
8935036669506,CẬU BÉ RỒNG T90,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7171505570090,,0.00,0.00,FALSE,,0.00,0.00
8935036669513,CẬU BÉ RỒNG T91,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7171505570091,,0.00,0.00,FALSE,,0.00,0.00
8935036669520,CẬU BÉ RỒNG T92,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7171505570092,,0.00,0.00,FALSE,,0.00,0.00
8935036671387,TCNN Từ Thúc gặp tiên,TRUYEN CO NUOC NAM (TCNN),Quyển,"8,000.00",0.00,0.00,0.00,"7,000.00",7131503710013,,0.00,0.00,FALSE,,0.00,0.00
8935036671479,TCNN Sự tích hòn vong phu,TRUYEN CO NUOC NAM (TCNN),Quyển,"8,000.00",0.00,0.00,0.00,"7,000.00",7131503710022,,0.00,0.00,FALSE,,0.00,0.00
8935036672100,CẬU BÉ RỒNG T95,CẬU BÉ RỒNG,Quyển,"8,000.00","6,000.00",0.00,0.00,"6,600.00",7131503630095,,0.00,0.00,FALSE,,0.00,0.00
